x	f(x)
0.876	0.174468
0.353	0.656543
-0.906	0.134373
-0.79	0.281925
0.97	0.044325
-0.683	0.400133
-0.384	0.639408
-0.505	0.558731
-0.853	0.204293
-0.714	0.367653
-0.886	0.161253
0.613	0.468173
0.707	0.375113
0.968	0.047232
0.729	0.351419
-0.782	0.291357
0.742	0.337077
0.695	0.387731
0.804	0.265188
-0.877	0.173153
0.81	0.257925
-0.961	0.0573592
-0.855	0.201731
0.501	0.561749
-0.56	0.5148
0.417	0.619583
-0.786	0.286653
-0.788	0.284292
-0.616	0.465408
0.502	0.560997
-0.518	0.548757
-0.321	0.672719
0.719	0.362279
0.79	0.281925
-0.856	0.200448
-0.786	0.286653
0.826	0.238293
-0.632	0.450432
-0.653	0.430193
0.535	0.535331
-0.898	0.145197
0.955	0.0659813
-0.849	0.209399
0.965	0.0515813
-0.303	0.681143
0.598	0.481797
0.891	0.154589
0.892	0.153252
-0.956	0.064548
-0.722	0.359037
-0.986	0.020853
-0.661	0.422309
-0.834	0.228333
-0.675	0.408281
-0.355	0.655481
-0.75	0.328125
-0.534	0.536133
-0.904	0.137088
-0.779	0.294869
0.933	0.0971332
-0.863	0.191423
0.748	0.330372
0.742	0.337077
0.888	0.158592
-0.553	0.520643
-0.577	0.500303
0.987	0.0193733
-0.353	0.656543
0.42	0.6177
0.591	0.488039
0.914	0.123453
0.604	0.476388
-0.755	0.322481
-0.611	0.470009
0.983	0.0252833
0.553	0.520643
-0.547	0.525593
0.544	0.528048
-0.533	0.536933
0.362	0.651717
0.978	0.032637
-0.529	0.540119
0.899	0.143849
0.691	0.391889
0.573	0.503753
-0.518	0.548757
0.943	0.0830633
-0.955	0.0659813
-0.614	0.467253
0.918	0.117957
-0.804	0.265188
0.816	0.250608
-0.915	0.122081
-0.68	0.4032
0.565	0.510581
0.677	0.406253
0.683	0.400133
0.989	0.0164093
0.919	0.116579
-0.93	0.101325
-1	0
0.937	0.0915232
0.954	0.067413
-0.912	0.126192
0.833	0.229583
0.71	0.371925
-0.831	0.232079
0.998	0.002997
0.86	0.1953
0.796	0.274788
0.973	0.0399533
0.655	0.428231
0.665	0.418331
-0.949	0.0745493
0.772	0.303012
0.987	0.0193733
0.767	0.308783
0.93	0.101325
0.844	0.215748
-0.972	0.041412
-0.987	0.0193733
-0.499	0.563249
-0.787	0.285473
0.578	0.499437
-0.741	0.338189
0.834	0.228333
-0.995	0.00748125
0.941	0.0858893
-0.903	0.138443
0.952	0.070272
-0.425	0.614531
0.957	0.0631133
-0.803	0.266393
-0.601	0.479099
0.606	0.474573
-0.694	0.388773
0.81	0.257925
0.969	0.0457793
-0.577	0.500303
-0.523	0.544853
0.828	0.235812
0.531	0.538529
0.99	0.014925
0.766	0.309933
-0.872	0.179712
0.998	0.002997
0.808	0.260352
0.791	0.280739
-0.643	0.439913
-0.593	0.486263
-0.77	0.305325
0.69	0.392925
0.466	0.587133
0.904	0.137088
-0.335	0.665831
-0.774	0.300693
-0.945	0.0802313
0.764	0.312228
0.904	0.137088
-0.959	0.0602393
-0.757	0.320213
0.46	0.5913
-0.915	0.122081
0.87	0.182325
-0.764	0.312228
0.902	0.139797
-0.597	0.482693
0.955	0.0659813
0.812	0.255492
-0.845	0.214481
0.939	0.0887093
0.398	0.631197
0.849	0.209399
0.762	0.314517
0.544	0.528048
0.944	0.081648
-0.995	0.00748125
0.728	0.352512
-0.574	0.502893
0.75	0.328125
0.343	0.661763
0.937	0.0915232
0.935	0.0943312
0.556	0.518148
0.709	0.372989
-0.868	0.184932
0.692	0.390852
0.613	0.468173
-0.764	0.312228
-0.776	0.298368
0.964	0.053028
-0.446	0.600813
-0.763	0.313373
-0.873	0.178403
-0.403	0.628193
-0.921	0.113819
0.733	0.347033
0.246	0.704613
0.444	0.602148
0.76	0.3168
-0.576	0.501168
-0.797	0.273593
0.85	0.208125
-0.986	0.020853
-0.918	0.117957
-0.938	0.090117
-0.751	0.326999
-0.883	0.165233
-0.938	0.090117
-0.553	0.520643
-0.921	0.113819
-0.597	0.482693
-0.958	0.061677
0.71	0.371925
-0.925	0.108281
-0.5	0.5625
-0.763	0.313373
0.926	0.106893
0.665	0.418331
0.678	0.405237
0.501	0.561749
-0.66	0.4233
0.409	0.624539
0.984	0.023808
-0.438	0.606117
0.724	0.356868
0.622	0.459837
-0.929	0.102719
-0.929	0.102719
-0.662	0.421317
0.685	0.398081
-0.805	0.263981
0.689	0.393959
0.667	0.416333
0.908	0.131652
0.777	0.297203
0.931	0.0999292
-0.977	0.0341033
0.944	0.081648
0.985	0.0223313
-0.749	0.329249
0.81	0.257925
-0.51	0.554925
-0.843	0.217013
-0.657	0.426263
0.951	0.0716993
-0.574	0.502893
0.986	0.020853
-0.969	0.0457793
0.543	0.528863
-0.906	0.134373
0.828	0.235812
0.741	0.338189
-0.881	0.167879
-0.772	0.303012
-0.9	0.1425
0.472	0.582912
-0.788	0.284292
-0.542	0.529677
-0.476	0.580068
0.631	0.451379
0.882	0.166557
0.876	0.174468
0.907	0.133013
0.757	0.320213
-0.89	0.155925
-0.827	0.237053
0.495	0.566231
0.952	0.070272
-0.71	0.371925
-0.928	0.104112
0.764	0.312228
-0.57	0.506325
0.888	0.158592
0.844	0.215748
-0.406	0.626373
0.919	0.116579
-0.694	0.388773
-0.824	0.240768
-0.897	0.146543
0.516	0.550308
-0.955	0.0659813
0.95	0.073125
-0.745	0.333731
-0.41	0.623925
0.831	0.232079
0.416	0.620208
0.54	0.5313
0.888	0.158592
0.564	0.511428
0.53	0.539325
0.355	0.655481
0.33	0.668325
-0.825	0.239531
-0.481	0.576479
0.965	0.0515813
0.908	0.131652
-0.92	0.1152
-0.984	0.023808
0.947	0.0773933
0.371	0.646769
0.99	0.014925
-0.619	0.462629
-0.91	0.128925
-0.059	0.747389
0.57	0.506325
-0.758	0.319077
-0.459	0.591989
0.875	0.175781
-0.684	0.399108
0.265	0.697331
-0.836	0.225828
0.925	0.108281
0.731	0.349229
-0.998	0.002997
-0.593	0.486263
0.967	0.0486833
-0.632	0.450432
-0.827	0.237053
-0.824	0.240768
0.473	0.582203
0.585	0.493331
-0.96	0.0588
-0.602	0.478197
0.21	0.716925
-0.972	0.041412
0.586	0.492453
0.606	0.474573
0.997	0.00449325
-0.758	0.319077
-0.785	0.287831
-0.955	0.0659813
0.971	0.0428693
-0.629	0.453269
0.658	0.425277
0.974	0.038493
0.317	0.674633
-0.859	0.196589
0.962	0.055917
0.95	0.073125
-0.757	0.320213
-0.729	0.351419
0.92	0.1152
0.612	0.469092
0.642	0.440877
0.942	0.084477
-0.431	0.610679
0.804	0.265188
0.516	0.550308
-0.256	0.700848
-0.746	0.332613
-0.736	0.343728
-0.732	0.348132
-0.986	0.020853
0.681	0.402179
0.321	0.672719
-0.998	0.002997
-0.924	0.109668
0.847	0.211943
0.674	0.409293
-0.878	0.171837
-0.575	0.502031
0.701	0.381449
0.847	0.211943
0.882	0.166557
0.813	0.254273
-0.506	0.557973
0.705	0.377231
0.947	0.0773933
0.557	0.517313
-0.872	0.179712
0.95	0.073125
-0.553	0.520643
0.747	0.331493
0.973	0.0399533
0.607	0.473663
-0.817	0.249383
0.816	0.250608
-0.78	0.2937
0.834	0.228333
-0.817	0.249383
-0.521	0.546419
0.783	0.290183
-0.692	0.390852
-0.608	0.472752
-0.498	0.563997
-0.988	0.017892
-0.536	0.534528
-0.959	0.0602393
0.942	0.084477
-0.486	0.572853
-0.881	0.167879
0.713	0.368723
0.822	0.243237
0.623	0.458903
0.882	0.166557
0.567	0.508883
-0.961	0.0573592
-0.699	0.383549
-0.997	0.00449325
-0.652	0.431172
-0.847	0.211943
0.519	0.547979
0.97	0.044325
-0.69	0.392925
-0.828	0.235812
